Label	Count	Mean Period	Period STD
Electronic Engine Controller 1	264770	0.019919	0.13972
Proprietary B	258390	0.020403	0.14138
Proprietary B	105710	0.04989	0.21772
Electronic Engine Controller 2	105490	0.049997	0.21794
Fuel Economy (Liquid)	52967	0.099573	0.29943
Proprietary B	52733	0.099977	0.29997
Proprietary B	52733	0.099977	0.29997
Proprietary B	52723	0.099996	0.3
GNSS Position Data	38031	0.14283	0.34991
Proprietary B	26366	0.19996	0.39998
Proprietary B	26366	0.19996	0.39998
Proprietary B	26366	0.19996	0.39998
Proprietary B	26366	0.19996	0.39998
Proprietary B	26362	0.19999	0.4
Proprietary B	26362	0.19999	0.4
Proprietary B	26362	0.19999	0.4
Proprietary B	25861	0.20394	0.40294
Electronic Engine Controller 3	21097	0.25	0.43302
GNSS Differential Correction Receiver Signal	15993	0.33961	0.48687
Proprietary B	10711	0.49234	0.49996
Proprietary B	10547	0.49991	0.50002
Engine Fluid Level/Pressure 1	10548	0.49995	0.50002
Intake/Exhaust Conditions 1	10548	0.49995	0.50002
Proprietary B	10545	0.5	0.50002
Proprietary B	10545	0.5	0.50002
Proprietary B	10545	0.5	0.50002
Proprietary B	10544	0.50005	0.50002
Proprietary B	10473	0.50353	0.50001
Transport Protocol - Data Transfer	6634	0.79225	66.66
Vehicle Electrical Power 1	5276	0.99962	0.01947
Fan Drive #1	5274	1	0
Active Diagnostic Trouble Codes	5274	1	0
Shutdown	5274	1	0
Time/Date	5433	1	0
Vehicle Direction/Speed	5433	1	0
Vehicle Position	5433	1	0
Proprietary B	5273	1	0
Proprietary B	5273	1	0
COG & SOG, Rapid Update	5432	1	0
Torque/Speed Control 1	5272	1.0002	0.023858
Proprietary B	5272	1.0002	0.023858
Proprietary B	5272	1.0002	0.030801
Proprietary B	5272	1.0002	0.013774
Proprietary B	5272	1.0002	0.023858
Proprietary B	5254	1.0038	0.061592
Proprietary B	5252	1.0038	0.067505
Proprietary B	5254	1.0038	0.064609
Request	5331	1.0189	0.13773
Proprietary B	2636	2	0
Transport Protocol - Connection Mgmt	1856	2.8329	126.07
System Time	1086	5	0
Operator indicators	528	10.002	0.075497
Proprietary B	527	10.004	0.10684
Proprietary A	89	61.148	0.49223
